lead_time,choice,annotator,updated_at,created_at,image,id,annotation_id
1.257,Food,1,2023-04-12T23:09:45.110830Z,2023-04-12T23:09:45.109795Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1000104.jpg,29,166
1.365,No-Food,1,2023-04-12T23:12:49.509675Z,2023-04-12T23:12:49.509675Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1000774.jpg,30,219
1.345,Food,1,2023-04-12T23:09:18.033781Z,2023-04-12T23:09:18.033781Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1000910.jpg,31,157
1.029,Food,1,2023-04-12T23:34:04.144732Z,2023-04-12T23:34:04.144732Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1002403.jpg,32,446
2.314,No-Food,1,2023-04-12T23:04:14.499915Z,2023-04-12T23:04:14.499915Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1003809.jpg,33,59
1.373,No-Food,1,2023-04-12T23:36:01.737787Z,2023-04-12T23:36:01.737787Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1006177.jpg,34,492
7.657,Food,1,2023-04-12T23:32:59.127139Z,2023-04-12T23:32:59.127139Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1006180.jpg,35,416
1.325,Food,1,2023-04-12T23:11:44.953294Z,2023-04-12T23:11:44.953294Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1011834.jpg,36,197
1.253,Food,1,2023-04-12T23:09:01.945171Z,2023-04-12T23:09:01.945171Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1013476.jpg,37,149
1.047,Food,1,2023-04-12T23:35:57.421184Z,2023-04-12T23:35:57.421184Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1015906.jpg,38,490
1.072,Food,1,2023-04-12T23:17:53.856924Z,2023-04-12T23:17:53.856924Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1022315.jpg,39,304
1.213,Food,1,2023-04-12T23:33:31.940057Z,2023-04-12T23:33:31.940057Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1025144.jpg,40,430
0.862,Food,1,2023-04-12T23:17:15.227885Z,2023-04-12T23:17:15.227885Z,/data/local-files/?d=Advanced-Analytics-Projects%5CFood-Image-Classifier%5Cdata%5C1025221.jpg,41,284
